782,2977
783,2664
779,2394
780,2234
781,2216
784,2111
801,1763
797,1744
793,1642
976,1622
798,1500
794,1498
973,1477
799,1249
795,1245
748,1206
743,1181
969,1120
957,1114
972,1010
954,1005
966,1002
792,946
974,944
800,927
796,910
789,895
953,820
790,809
786,776
787,747
788,740
758,710
785,684
775,682
777,678
753,664
747,659
955,652
967,649
742,649
771,642
791,639
776,634
778,616
773,601
749,600
772,593
754,582
892,542
889,540
970,538
975,536
774,505
751,493
718,486
717,485
838,459
752,458
750,437
968,413
956,397
885,387
893,371
755,350
739,347
756,346
971,322
741,173
757,156
745,131
891,124
890,114
719,109
839,109
887,87
888,83
744,17
